Date	State
12-21-16	VA
12-21-16	KY
12-20-16	CA
12-20-16	CA
12-19-16	AZ
12-19-16	CA
12-19-16	AZ
12-19-16	AZ
12-19-16	OH
12-19-16	AR
12-19-16	AK
12-19-16	MO
12-19-16	UT
12-19-16	TX
12-18-16	AB
12-18-16	AR
12-18-16	HI
12-18-16	UT
12-18-16	OR
12-18-16	KS
12-18-16	OH
12-17-16	CA
12-17-16	HI
12-17-16	CA
12-17-16	HI
12-17-16	CA
12-17-16	FL
12-17-16	CA
12-16-16	NM
12-16-16	TN
12-16-16	FL
12-16-16	CO
12-16-16	WA
12-16-16	OK
12-16-16	NV
12-15-16	NY
12-15-16	TN
12-15-16	FL
12-15-16	KS
12-15-16	CT
12-15-16	KY
12-15-16	SC
12-15-16	FL
12-15-16	AZ
12-15-16	AL
12-14-16	GA
12-14-16	VA
12-14-16	KY
12-14-16	CT
12-14-16	CA
12-14-16	VT
12-14-16	AZ
12-14-16	NJ
12-14-16	CO
12-13-16	WA
12-13-16	IL
12-13-16	CA
12-13-16	FL
12-13-16	IA
12-13-16	FL
12-13-16	MI
12-13-16	IA
12-13-16	FL
12-13-16	IA
12-13-16	CA
12-12-16	MD
12-12-16	FL
12-12-16	NM
12-12-16	WA
12-12-16	GA
12-12-16	NJ
12-12-16	CA
12-12-16	OR
12-12-16	MN
12-12-16	MO
11-12-16	IA
11-12-16	UT
11-12-16	CO
11-12-16	MT
11-12-16	LA
11-12-16	PA
11-12-16	CA
11-12-16	MT
10-12-16	SD
10-12-16	MA
10-12-16	TN
10-12-16	CO
10-12-16	VA
10-12-16	AZ
10-12-16	HI
10-12-16	NM
10-12-16	NM
10-12-16	VA
10-12-16	NC
10-12-16	TX
9-12-16	AZ
9-12-16	OR
9-12-16	FL
9-12-16	AZ
9-12-16	VA
9-12-16	TN
9-12-16	MA
9-12-16	ME
9-12-16	NS
8-12-16	IL
8-12-16	MO
8-12-16	CT
8-12-16	GA
7-12-16	FL
7-12-16	AK
7-12-16	HI
7-12-16	WA
7-12-16	GA
7-12-16	NV
7-12-16	GA
7-12-16	MA
7-12-16	FL
6-12-16	NC
6-12-16	NV
6-12-16	NV
6-12-16	LA
6-12-16	PA
6-12-16	NY
6-12-16	TX
6-12-16	IL
6-12-16	MA
6-12-16	FL
5-12-16	SK
5-12-16	CT
5-12-16	UT
5-12-16	NJ
5-12-16	NH
5-12-16	ON
5-12-16	PA
5-12-16	NY
5-12-16	CT
5-12-16	OR
4-12-16	MN
4-12-16	CA
4-12-16	ME
4-12-16	SD
4-12-16	GA
4-12-16	MN
4-12-16	MD
4-12-16	ME
4-12-16	MD
4-12-16	CA
4-12-16	AZ
4-12-16	ON
3-12-16	NJ
3-12-16	WV
3-12-16	CA
3-12-16	IN
3-12-16	MD
3-12-16	WA
3-12-16	CA
3-12-16	CA
3-12-16	ME
2-12-16	PA
2-12-16	NC
2-12-16	VA
2-12-16	VA
2-12-16	VA
2-12-16	GA
1-12-16	CT
1-12-16	TN
1-12-16	AZ
1-12-16	SC
1-12-16	CA
1-12-16	NY
1-12-16	AL
1-12-16	NJ
11-30-16	WA
11-30-16	MS
11-30-16	WY
11-30-16	KY
11-30-16	GA
11-30-16	TX
11-29-16	MI
11-29-16	WV
11-29-16	CA
11-29-16	CO
11-29-16	ON
11-29-16	IL
11-29-16	CA
11-29-16	CO
11-29-16	CA
11-29-16	MI
11-29-16	WI
11-29-16	IL
11-29-16	OR
11-29-16	AK
11-29-16	IN
11-28-16	OR
11-28-16	VA
11-28-16	MA
11-28-16	CA
11-28-16	MO
11-28-16	FL
11-28-16	MO
11-28-16	RI
11-28-16	NJ
11-28-16	ME
11-28-16	GA
11-28-16	IL
11-28-16	NC
11-28-16	CO
11-27-16	ON
11-27-16	FL
11-27-16	NY
11-27-16	CO
11-27-16	WA
11-27-16	HI
11-27-16	PA
11-27-16	LA
11-27-16	NE
11-26-16	CO
11-26-16	NY
11-26-16	NY
11-26-16	NC
11-26-16	FL
11-26-16	MI
11-26-16	CT
11-26-16	FL
11-26-16	OR
11-26-16	GA
11-26-16	SD
11-26-16	NC
11-26-16	NY
11-26-16	WA
11-26-16	CA
11-26-16	NJ
11-25-16	KS
11-25-16	GA
11-25-16	FL
11-25-16	IN
11-25-16	NV
11-25-16	FL
11-25-16	FL
11-25-16	CA
11-25-16	CO
11-25-16	TX
11-25-16	GA
11-25-16	WA
11-24-16	NC
11-24-16	MD
11-24-16	OK
11-24-16	FL
11-24-16	NJ
11-24-16	NJ
11-24-16	FL
11-24-16	NC
11-24-16	MD
11-24-16	CO
11-24-16	CO
11-24-16	MS
11-23-16	NJ
11-23-16	OR
11-23-16	NY
11-23-16	CA
11-23-16	OK
11-22-16	AZ
11-22-16	ON
11-22-16	FL
11-22-16	IL
11-22-16	UT
11-22-16	UT
11-22-16	KS
11-22-16	PA
11-22-16	NH
